order_id,date,product,category,region,channel,sales_rep,units,unit_price,discount_pct,revenue
ORD-100028,2025-01-06,Pulse Wireless Earbuds,Audio,North America,Online,Derek Holt,1,129.00,0,129.00
ORD-100029,2025-01-06,BoomBar Bluetooth Speaker,Audio,North America,Online,Derek Holt,1,89.00,0,89.00
ORD-100030,2025-01-06,Pulse Wireless Earbuds,Audio,Europe,Online,Tomás Ribeiro,1,129.00,0,129.00
ORD-100031,2025-01-06,VoltCharge 65W GaN Charger,Accessories,Latin America,Online,Camila Torres,2,45.00,5,85.50
ORD-100032,2025-01-06,Resonance Over-Ear Headphones,Audio,North America,Online,Derek Holt,1,249.00,0,249.00
ORD-100033,2025-01-07,MagGrip Phone Stand,Accessories,APAC,Online,Priya Nair,5,25.00,5,118.75
ORD-100034,2025-01-07,TrailCase Rugged Sleeve,Accessories,Latin America,Online,Camila Torres,1,35.00,0,35.00
ORD-100035,2025-01-07,Horizon Smartwatch,Wearables,North America,Online,Derek Holt,1,299.00,10,269.10
ORD-100036,2025-01-07,MagGrip Phone Stand,Accessories,North America,Online,Derek Holt,1,25.00,10,22.50
ORD-100037,2025-01-07,SentryCam Security Camera,Smart Home,Europe,Online,Tomás Ribeiro,2,139.00,0,278.00
ORD-100038,2025-01-07,MagGrip Phone Stand,Accessories,North America,Distributor,Maya Chen,14,25.00,20,280.00
ORD-100039,2025-01-07,VoltCharge 65W GaN Charger,Accessories,North America,Distributor,Maya Chen,46,45.00,25,1552.50
ORD-100040,2025-01-08,SentryCam Security Camera,Smart Home,North America,Online,Maya Chen,2,139.00,0,278.00
ORD-100041,2025-01-08,TrailCase Rugged Sleeve,Accessories,North America,Online,Derek Holt,1,35.00,0,35.00
ORD-100042,2025-01-08,Vitality Fitness Band,Wearables,North America,Online,Maya Chen,2,79.00,0,158.00
ORD-100043,2025-01-08,Pulse Wireless Earbuds,Audio,Europe,Online,Tomás Ribeiro,1,129.00,0,129.00
ORD-100044,2025-01-08,BoomBar Bluetooth Speaker,Audio,North America,Retail,Derek Holt,2,89.00,0,178.00
ORD-100045,2025-01-08,TrailCase Rugged Sleeve,Accessories,Europe,Retail,Sofia Lindqvist,2,35.00,10,63.00
ORD-100046,2025-01-09,BoomBar Bluetooth Speaker,Audio,APAC,Online,Priya Nair,2,89.00,0,178.00
ORD-100047,2025-01-09,BoomBar Bluetooth Speaker,Audio,Europe,Online,Tomás Ribeiro,1,89.00,5,84.55
ORD-100048,2025-01-09,Pulse Wireless Earbuds,Audio,Europe,Online,Tomás Ribeiro,1,129.00,0,129.00
ORD-100049,2025-01-09,TrailCase Rugged Sleeve,Accessories,North America,Retail,Derek Holt,1,35.00,0,35.00
ORD-100050,2025-01-09,Pulse Wireless Earbuds,Audio,APAC,Online,Priya Nair,3,129.00,0,387.00
ORD-100051,2025-01-09,Resonance Over-Ear Headphones,Audio,North America,Online,Derek Holt,4,249.00,10,896.40
ORD-100052,2025-01-09,Pulse Wireless Earbuds,Audio,North America,Retail,Maya Chen,1,129.00,0,129.00
ORD-100053,2025-01-09,MagGrip Phone Stand,Accessories,Latin America,Distributor,Camila Torres,25,25.00,25,468.75
ORD-100054,2025-01-09,TrailCase Rugged Sleeve,Accessories,APAC,Online,Kenji Watanabe,2,35.00,0,70.00
ORD-100055,2025-01-09,TrailCase Rugged Sleeve,Accessories,APAC,Online,Priya Nair,2,35.00,0,70.00
ORD-100056,2025-01-10,MagGrip Phone Stand,Accessories,APAC,Online,Priya Nair,4,25.00,0,100.00
ORD-100057,2025-01-10,MagGrip Phone Stand,Accessories,APAC,Online,Priya Nair,1,25.00,0,25.00
ORD-100058,2025-01-10,MagGrip Phone Stand,Accessories,Latin America,Online,Diego Fuentes,1,25.00,0,25.00
ORD-100059,2025-01-10,MagGrip Phone Stand,Accessories,North America,Online,Maya Chen,5,25.00,0,125.00
ORD-100060,2025-01-10,TrailCase Rugged Sleeve,Accessories,North America,Retail,Maya Chen,1,35.00,0,35.00
ORD-100061,2025-01-10,Glow Smart Bulb 4-Pack,Smart Home,Latin America,Online,Camila Torres,2,49.00,0,98.00
ORD-100062,2025-01-10,VoltCharge 65W GaN Charger,Accessories,North America,Online,Maya Chen,1,45.00,0,45.00
ORD-100063,2025-01-10,Vitality Fitness Band,Wearables,North America,Retail,Maya Chen,1,79.00,0,79.00
ORD-100064,2025-01-10,Horizon Smartwatch,Wearables,Europe,Retail,Tomás Ribeiro,1,299.00,0,299.00
ORD-100065,2025-01-11,BoomBar Bluetooth Speaker,Audio,Europe,Online,Tomás Ribeiro,1,89.00,0,89.00
ORD-100066,2025-01-11,Glow Smart Bulb 4-Pack,Smart Home,Europe,Online,Tomás Ribeiro,1,49.00,0,49.00
ORD-100067,2025-01-12,Glow Smart Bulb 4-Pack,Smart Home,Latin America,Retail,Camila Torres,1,49.00,0,49.00
ORD-100068,2025-01-12,ClimaSense Thermostat,Smart Home,North America,Retail,Maya Chen,1,179.00,0,179.00
ORD-100069,2025-01-12,Pulse Wireless Earbuds,Audio,North America,Retail,Derek Holt,2,129.00,0,258.00
ORD-100070,2025-01-12,MagGrip Phone Stand,Accessories,Europe,Online,Tomás Ribeiro,1,25.00,0,25.00
ORD-100071,2025-01-12,Pulse Wireless Earbuds,Audio,APAC,Retail,Priya Nair,1,129.00,5,122.55
ORD-100072,2025-01-12,VoltCharge 65W GaN Charger,Accessories,Europe,Distributor,Sofia Lindqvist,17,45.00,35,497.25
ORD-100073,2025-01-12,Resonance Over-Ear Headphones,Audio,Europe,Distributor,Tomás Ribeiro,38,249.00,35,6150.30
ORD-100074,2025-01-13,MagGrip Phone Stand,Accessories,APAC,Online,Kenji Watanabe,2,25.00,5,47.50
ORD-100075,2025-01-13,Vitality Fitness Band,Wearables,APAC,Retail,Kenji Watanabe,1,79.00,0,79.00
ORD-100076,2025-01-13,Vitality Fitness Band,Wearables,North America,Distributor,Derek Holt,15,79.00,25,888.75
ORD-100077,2025-01-13,Resonance Over-Ear Headphones,Audio,North America,Retail,Maya Chen,1,249.00,0,249.00
ORD-100078,2025-01-13,SentryCam Security Camera,Smart Home,Europe,Retail,Sofia Lindqvist,1,139.00,0,139.00
ORD-100079,2025-01-13,TrailCase Rugged Sleeve,Accessories,North America,Online,Derek Holt,4,35.00,0,140.00
ORD-100080,2025-01-13,Horizon Smartwatch,Wearables,APAC,Online,Kenji Watanabe,2,299.00,0,598.00
ORD-100081,2025-01-13,MagGrip Phone Stand,Accessories,Europe,Online,Tomás Ribeiro,1,25.00,0,25.00
ORD-100082,2025-01-14,VoltCharge 65W GaN Charger,Accessories,Europe,Retail,Sofia Lindqvist,4,45.00,10,162.00
ORD-100083,2025-01-14,SentryCam Security Camera,Smart Home,Latin America,Online,Camila Torres,1,139.00,5,132.05
ORD-100084,2025-01-14,BoomBar Bluetooth Speaker,Audio,North America,Online,Derek Holt,1,89.00,0,89.00
ORD-100085,2025-01-14,Horizon Smartwatch,Wearables,APAC,Online,Kenji Watanabe,1,299.00,0,299.00
ORD-100086,2025-01-15,Vitality Fitness Band,Wearables,Europe,Retail,Sofia Lindqvist,4,79.00,0,316.00
ORD-100087,2025-01-16,Pulse Wireless Earbuds,Audio,North America,Online,Maya Chen,1,129.00,10,116.10
ORD-100088,2025-01-16,Glow Smart Bulb 4-Pack,Smart Home,North America,Online,Derek Holt,2,49.00,0,98.00
ORD-100089,2025-01-16,Resonance Over-Ear Headphones,Audio,APAC,Online,Kenji Watanabe,1,249.00,0,249.00
ORD-100090,2025-01-16,VoltCharge 65W GaN Charger,Accessories,Latin America,Distributor,Diego Fuentes,22,45.00,20,792.00
ORD-100091,2025-01-17,BoomBar Bluetooth Speaker,Audio,Europe,Distributor,Tomás Ribeiro,48,89.00,20,3417.60
ORD-100092,2025-01-17,MagGrip Phone Stand,Accessories,Europe,Online,Sofia Lindqvist,1,25.00,0,25.00
ORD-100093,2025-01-17,Glow Smart Bulb 4-Pack,Smart Home,North America,Retail,Derek Holt,1,49.00,10,44.10
ORD-100094,2025-01-18,VoltCharge 65W GaN Charger,Accessories,APAC,Online,Priya Nair,2,45.00,10,81.00
ORD-100095,2025-01-18,BoomBar Bluetooth Speaker,Audio,APAC,Online,Kenji Watanabe,3,89.00,0,267.00
ORD-100096,2025-01-18,Vitality Fitness Band,Wearables,North America,Online,Maya Chen,1,79.00,0,79.00
ORD-100097,2025-01-19,Vitality Fitness Band,Wearables,Europe,Online,Tomás Ribeiro,1,79.00,0,79.00
ORD-100098,2025-01-19,Vitality Fitness Band,Wearables,APAC,Retail,Kenji Watanabe,1,79.00,0,79.00
ORD-100099,2025-01-20,BoomBar Bluetooth Speaker,Audio,Europe,Retail,Sofia Lindqvist,2,89.00,0,178.00
ORD-100100,2025-01-20,MagGrip Phone Stand,Accessories,North America,Online,Maya Chen,1,25.00,0,25.00
ORD-100101,2025-01-20,Horizon Smartwatch,Wearables,Europe,Online,Tomás Ribeiro,2,299.00,0,598.00
ORD-100102,2025-01-20,VoltCharge 65W GaN Charger,Accessories,North America,Online,Derek Holt,2,45.00,0,90.00
ORD-100103,2025-01-20,VoltCharge 65W GaN Charger,Accessories,Latin America,Online,Camila Torres,2,45.00,0,90.00
ORD-100104,2025-01-21,ClimaSense Thermostat,Smart Home,Latin America,Online,Camila Torres,1,179.00,0,179.00
ORD-100105,2025-01-21,VoltCharge 65W GaN Charger,Accessories,North America,Distributor,Maya Chen,45,45.00,30,1417.50
ORD-100106,2025-01-21,VoltCharge 65W GaN Charger,Accessories,North America,Online,Derek Holt,1,45.00,0,45.00
ORD-100107,2025-01-21,Glow Smart Bulb 4-Pack,Smart Home,North America,Online,Maya Chen,3,49.00,0,147.00
ORD-100108,2025-01-22,Pulse Wireless Earbuds,Audio,Europe,Online,Sofia Lindqvist,3,129.00,10,348.30
ORD-100109,2025-01-22,Pulse Wireless Earbuds,Audio,North America,Retail,Derek Holt,2,129.00,0,258.00
ORD-100110,2025-01-22,SentryCam Security Camera,Smart Home,Europe,Online,Tomás Ribeiro,2,139.00,0,278.00
ORD-100111,2025-01-22,SentryCam Security Camera,Smart Home,North America,Distributor,Maya Chen,23,139.00,25,2397.75
ORD-100112,2025-01-22,BoomBar Bluetooth Speaker,Audio,North America,Online,Maya Chen,1,89.00,0,89.00
ORD-100113,2025-01-23,Vitality Fitness Band,Wearables,North America,Retail,Derek Holt,1,79.00,0,79.00
ORD-100114,2025-01-23,TrailCase Rugged Sleeve,Accessories,APAC,Online,Priya Nair,1,35.00,0,35.00
ORD-100115,2025-01-23,MagGrip Phone Stand,Accessories,APAC,Online,Priya Nair,2,25.00,0,50.00
ORD-100116,2025-01-23,MagGrip Phone Stand,Accessories,Latin America,Online,Diego Fuentes,2,25.00,0,50.00
ORD-100117,2025-01-24,TrailCase Rugged Sleeve,Accessories,Europe,Online,Tomás Ribeiro,2,35.00,5,66.50
ORD-100118,2025-01-24,VoltCharge 65W GaN Charger,Accessories,Europe,Online,Sofia Lindqvist,5,45.00,5,213.75
ORD-100119,2025-01-24,SentryCam Security Camera,Smart Home,Latin America,Retail,Diego Fuentes,2,139.00,0,278.00
ORD-100120,2025-01-24,SentryCam Security Camera,Smart Home,Europe,Online,Tomás Ribeiro,2,139.00,0,278.00
ORD-100121,2025-01-24,Glow Smart Bulb 4-Pack,Smart Home,North America,Online,Derek Holt,1,49.00,0,49.00
ORD-100122,2025-01-24,Resonance Over-Ear Headphones,Audio,Europe,Online,Tomás Ribeiro,4,249.00,5,946.20
ORD-100123,2025-01-24,SentryCam Security Camera,Smart Home,Europe,Online,Tomás Ribeiro,1,139.00,0,139.00
ORD-100124,2025-01-25,Pulse Wireless Earbuds,Audio,APAC,Online,Kenji Watanabe,1,129.00,0,129.00
ORD-100125,2025-01-25,VoltCharge 65W GaN Charger,Accessories,Europe,Online,Sofia Lindqvist,1,45.00,10,40.50
ORD-100126,2025-01-25,Glow Smart Bulb 4-Pack,Smart Home,Europe,Online,Sofia Lindqvist,2,49.00,0,98.00
ORD-100127,2025-01-25,VoltCharge 65W GaN Charger,Accessories,North America,Retail,Maya Chen,1,45.00,10,40.50
ORD-100128,2025-01-25,MagGrip Phone Stand,Accessories,Europe,Retail,Sofia Lindqvist,1,25.00,10,22.50
ORD-100129,2025-01-25,Vitality Fitness Band,Wearables,APAC,Retail,Kenji Watanabe,5,79.00,0,395.00
ORD-100130,2025-01-25,SentryCam Security Camera,Smart Home,North America,Distributor,Maya Chen,27,139.00,35,2439.45
ORD-100131,2025-01-26,Vitality Fitness Band,Wearables,APAC,Retail,Kenji Watanabe,1,79.00,0,79.00
ORD-100132,2025-01-26,SentryCam Security Camera,Smart Home,Latin America,Distributor,Diego Fuentes,38,139.00,35,3433.30
ORD-100133,2025-01-27,SentryCam Security Camera,Smart Home,Europe,Distributor,Tomás Ribeiro,25,139.00,35,2258.75
ORD-100134,2025-01-27,BoomBar Bluetooth Speaker,Audio,APAC,Online,Priya Nair,1,89.00,5,84.55
ORD-100135,2025-01-27,Horizon Smartwatch,Wearables,Latin America,Online,Camila Torres,1,299.00,0,299.00
ORD-100136,2025-01-27,ClimaSense Thermostat,Smart Home,APAC,Online,Kenji Watanabe,4,179.00,0,716.00
ORD-100137,2025-01-27,Resonance Over-Ear Headphones,Audio,APAC,Online,Priya Nair,2,249.00,0,498.00
ORD-100138,2025-01-28,ClimaSense Thermostat,Smart Home,North America,Distributor,Maya Chen,44,179.00,35,5119.40
ORD-100139,2025-01-28,TrailCase Rugged Sleeve,Accessories,Europe,Distributor,Tomás Ribeiro,12,35.00,20,336.00
ORD-100140,2025-01-28,BoomBar Bluetooth Speaker,Audio,Europe,Distributor,Tomás Ribeiro,15,89.00,35,867.75
ORD-100141,2025-01-28,TrailCase Rugged Sleeve,Accessories,APAC,Online,Priya Nair,2,35.00,5,66.50
ORD-100142,2025-01-28,Pulse Wireless Earbuds,Audio,APAC,Online,Kenji Watanabe,1,129.00,0,129.00
ORD-100143,2025-01-28,Horizon Smartwatch,Wearables,Europe,Online,Sofia Lindqvist,1,299.00,5,284.05
ORD-100144,2025-01-28,ClimaSense Thermostat,Smart Home,North America,Online,Maya Chen,2,179.00,0,358.00
ORD-100145,2025-01-28,VoltCharge 65W GaN Charger,Accessories,APAC,Distributor,Kenji Watanabe,44,45.00,25,1485.00
ORD-100146,2025-01-29,TrailCase Rugged Sleeve,Accessories,North America,Retail,Derek Holt,1,35.00,0,35.00
ORD-100147,2025-01-29,TrailCase Rugged Sleeve,Accessories,APAC,Online,Priya Nair,2,35.00,0,70.00
ORD-100148,2025-01-29,TrailCase Rugged Sleeve,Accessories,North America,Online,Derek Holt,2,35.00,0,70.00
ORD-100149,2025-01-29,VoltCharge 65W GaN Charger,Accessories,North America,Retail,Derek Holt,4,45.00,0,180.00
ORD-100150,2025-01-29,BoomBar Bluetooth Speaker,Audio,APAC,Retail,Priya Nair,2,89.00,0,178.00
ORD-100151,2025-01-29,VoltCharge 65W GaN Charger,Accessories,Europe,Retail,Sofia Lindqvist,4,45.00,0,180.00
ORD-100152,2025-01-29,Vitality Fitness Band,Wearables,Europe,Retail,Tomás Ribeiro,1,79.00,0,79.00
ORD-100153,2025-01-29,VoltCharge 65W GaN Charger,Accessories,North America,Retail,Maya Chen,3,45.00,0,135.00
ORD-100154,2025-01-29,Glow Smart Bulb 4-Pack,Smart Home,North America,Online,Maya Chen,3,49.00,0,147.00
ORD-100155,2025-01-29,MagGrip Phone Stand,Accessories,APAC,Retail,Kenji Watanabe,1,25.00,0,25.00
ORD-100156,2025-01-29,VoltCharge 65W GaN Charger,Accessories,North America,Distributor,Derek Holt,45,45.00,30,1417.50
ORD-100157,2025-01-30,Pulse Wireless Earbuds,Audio,North America,Online,Derek Holt,1,129.00,0,129.00
ORD-100158,2025-01-30,VoltCharge 65W GaN Charger,Accessories,Europe,Online,Tomás Ribeiro,1,45.00,0,45.00
ORD-100159,2025-01-30,MagGrip Phone Stand,Accessories,Europe,Retail,Sofia Lindqvist,2,25.00,0,50.00
ORD-100160,2025-01-30,VoltCharge 65W GaN Charger,Accessories,Europe,Online,Sofia Lindqvist,4,45.00,0,180.00
ORD-100161,2025-01-30,Glow Smart Bulb 4-Pack,Smart Home,North America,Online,Maya Chen,1,49.00,10,44.10
ORD-100162,2025-01-30,VoltCharge 65W GaN Charger,Accessories,Europe,Distributor,Sofia Lindqvist,16,45.00,35,468.00
ORD-100163,2025-01-30,ClimaSense Thermostat,Smart Home,Latin America,Online,Diego Fuentes,1,179.00,0,179.00
ORD-100164,2025-01-30,TrailCase Rugged Sleeve,Accessories,APAC,Distributor,Priya Nair,33,35.00,30,808.50
ORD-100165,2025-01-30,Pulse Wireless Earbuds,Audio,North America,Distributor,Maya Chen,39,129.00,20,4024.80
ORD-100166,2025-01-31,ClimaSense Thermostat,Smart Home,North America,Online,Derek Holt,1,179.00,0,179.00
ORD-100167,2025-01-31,Pulse Wireless Earbuds,Audio,APAC,Retail,Priya Nair,3,129.00,0,387.00
ORD-100168,2025-01-31,MagGrip Phone Stand,Accessories,APAC,Online,Priya Nair,5,25.00,10,112.50
ORD-100169,2025-01-31,SentryCam Security Camera,Smart Home,APAC,Retail,Priya Nair,1,139.00,0,139.00
ORD-100170,2025-01-31,MagGrip Phone Stand,Accessories,North America,Online,Derek Holt,1,25.00,0,25.00
ORD-100171,2025-02-01,Glow Smart Bulb 4-Pack,Smart Home,North America,Online,Maya Chen,2,49.00,0,98.00
ORD-100172,2025-02-01,Resonance Over-Ear Headphones,Audio,Europe,Retail,Sofia Lindqvist,4,249.00,0,996.00
ORD-100173,2025-02-01,Vitality Fitness Band,Wearables,Europe,Online,Sofia Lindqvist,1,79.00,0,79.00
ORD-100174,2025-02-02,MagGrip Phone Stand,Accessories,North America,Online,Maya Chen,1,25.00,0,25.00
ORD-100175,2025-02-02,ClimaSense Thermostat,Smart Home,Europe,Online,Tomás Ribeiro,2,179.00,0,358.00
ORD-100176,2025-02-02,Glow Smart Bulb 4-Pack,Smart Home,Europe,Distributor,Sofia Lindqvist,45,49.00,25,1653.75
ORD-100177,2025-02-02,Glow Smart Bulb 4-Pack,Smart Home,APAC,Online,Kenji Watanabe,1,49.00,0,49.00
ORD-100178,2025-02-03,Pulse Wireless Earbuds,Audio,Europe,Online,Tomás Ribeiro,1,129.00,10,116.10
ORD-100179,2025-02-03,Pulse Wireless Earbuds,Audio,APAC,Online,Priya Nair,2,129.00,0,258.00
ORD-100180,2025-02-03,Resonance Over-Ear Headphones,Audio,North America,Retail,Derek Holt,1,249.00,5,236.55
ORD-100181,2025-02-03,TrailCase Rugged Sleeve,Accessories,Europe,Distributor,Sofia Lindqvist,48,35.00,30,1176.00
ORD-100182,2025-02-03,Vitality Fitness Band,Wearables,Europe,Online,Sofia Lindqvist,1,79.00,5,75.05
ORD-100183,2025-02-04,Resonance Over-Ear Headphones,Audio,North America,Retail,Maya Chen,3,249.00,10,672.30
ORD-100184,2025-02-04,MagGrip Phone Stand,Accessories,Europe,Retail,Sofia Lindqvist,2,25.00,0,50.00
ORD-100185,2025-02-04,Pulse Wireless Earbuds,Audio,North America,Distributor,Derek Holt,32,129.00,20,3302.40
ORD-100186,2025-02-04,BoomBar Bluetooth Speaker,Audio,North America,Online,Derek Holt,2,89.00,10,160.20
ORD-100187,2025-02-04,Pulse Wireless Earbuds,Audio,Europe,Online,Tomás Ribeiro,1,129.00,0,129.00
ORD-100188,2025-02-04,VoltCharge 65W GaN Charger,Accessories,APAC,Distributor,Priya Nair,19,45.00,25,641.25
ORD-100189,2025-02-05,VoltCharge 65W GaN Charger,Accessories,North America,Online,Maya Chen,2,45.00,0,90.00
ORD-100190,2025-02-05,Glow Smart Bulb 4-Pack,Smart Home,North America,Online,Maya Chen,1,49.00,0,49.00
ORD-100191,2025-02-05,ClimaSense Thermostat,Smart Home,Europe,Online,Tomás Ribeiro,1,179.00,0,179.00
ORD-100192,2025-02-05,Pulse Wireless Earbuds,Audio,North America,Retail,Maya Chen,2,129.00,0,258.00
ORD-100193,2025-02-05,Resonance Over-Ear Headphones,Audio,Europe,Online,Tomás Ribeiro,1,249.00,0,249.00
ORD-100194,2025-02-05,Glow Smart Bulb 4-Pack,Smart Home,APAC,Online,Kenji Watanabe,3,49.00,0,147.00
ORD-100195,2025-02-05,Pulse Wireless Earbuds,Audio,Latin America,Retail,Diego Fuentes,2,129.00,0,258.00
ORD-100196,2025-02-05,Glow Smart Bulb 4-Pack,Smart Home,North America,Distributor,Maya Chen,20,49.00,35,637.00
ORD-100197,2025-02-05,MagGrip Phone Stand,Accessories,Latin America,Online,Camila Torres,1,25.00,0,25.00
ORD-100198,2025-02-06,MagGrip Phone Stand,Accessories,APAC,Online,Priya Nair,1,25.00,0,25.00
ORD-100199,2025-02-06,Resonance Over-Ear Headphones,Audio,Europe,Online,Tomás Ribeiro,4,249.00,0,996.00
ORD-100200,2025-02-06,Resonance Over-Ear Headphones,Audio,North America,Online,Derek Holt,2,249.00,0,498.00
ORD-100201,2025-02-06,VoltCharge 65W GaN Charger,Accessories,North America,Online,Derek Holt,2,45.00,0,90.00
ORD-100202,2025-02-06,VoltCharge 65W GaN Charger,Accessories,APAC,Distributor,Kenji Watanabe,50,45.00,30,1575.00
ORD-100203,2025-02-06,Resonance Over-Ear Headphones,Audio,North America,Retail,Derek Holt,2,249.00,0,498.00
ORD-100204,2025-02-07,Vitality Fitness Band,Wearables,North America,Online,Derek Holt,1,79.00,5,75.05
ORD-100205,2025-02-07,Pulse Wireless Earbuds,Audio,APAC,Retail,Priya Nair,1,129.00,0,129.00
ORD-100206,2025-02-07,SentryCam Security Camera,Smart Home,APAC,Online,Priya Nair,3,139.00,0,417.00
ORD-100207,2025-02-07,Vitality Fitness Band,Wearables,Europe,Distributor,Sofia Lindqvist,38,79.00,20,2401.60
ORD-100208,2025-02-07,MagGrip Phone Stand,Accessories,APAC,Online,Priya Nair,1,25.00,0,25.00
ORD-100209,2025-02-07,Glow Smart Bulb 4-Pack,Smart Home,Europe,Online,Sofia Lindqvist,4,49.00,0,196.00
ORD-100210,2025-02-07,MagGrip Phone Stand,Accessories,Europe,Retail,Sofia Lindqvist,2,25.00,0,50.00
ORD-100211,2025-02-07,Pulse Wireless Earbuds,Audio,Europe,Online,Tomás Ribeiro,3,129.00,10,348.30
ORD-100212,2025-02-08,Pulse Wireless Earbuds,Audio,Europe,Online,Tomás Ribeiro,2,129.00,0,258.00
ORD-100213,2025-02-08,Resonance Over-Ear Headphones,Audio,APAC,Online,Priya Nair,1,249.00,0,249.00
ORD-100214,2025-02-08,MagGrip Phone Stand,Accessories,Europe,Retail,Sofia Lindqvist,1,25.00,0,25.00
ORD-100215,2025-02-08,Horizon Smartwatch,Wearables,North America,Online,Maya Chen,2,299.00,0,598.00
ORD-100216,2025-02-09,TrailCase Rugged Sleeve,Accessories,North America,Retail,Derek Holt,1,35.00,0,35.00
ORD-100217,2025-02-09,MagGrip Phone Stand,Accessories,APAC,Retail,Priya Nair,3,25.00,0,75.00
ORD-100218,2025-02-09,ClimaSense Thermostat,Smart Home,North America,Retail,Maya Chen,2,179.00,5,340.10
ORD-100219,2025-02-09,Resonance Over-Ear Headphones,Audio,Europe,Online,Tomás Ribeiro,2,249.00,10,448.20
ORD-100220,2025-02-09,ClimaSense Thermostat,Smart Home,APAC,Online,Kenji Watanabe,1,179.00,10,161.10
ORD-100221,2025-02-10,BoomBar Bluetooth Speaker,Audio,Europe,Online,Tomás Ribeiro,1,89.00,0,89.00
ORD-100222,2025-02-10,SentryCam Security Camera,Smart Home,Latin America,Retail,Camila Torres,1,139.00,0,139.00
ORD-100223,2025-02-10,VoltCharge 65W GaN Charger,Accessories,APAC,Retail,Priya Nair,1,45.00,0,45.00
ORD-100224,2025-02-10,Pulse Wireless Earbuds,Audio,North America,Distributor,Derek Holt,19,129.00,35,1593.15
ORD-100225,2025-02-10,Pulse Wireless Earbuds,Audio,Latin America,Distributor,Diego Fuentes,11,129.00,35,922.35
ORD-100226,2025-02-10,Pulse Wireless Earbuds,Audio,Europe,Online,Sofia Lindqvist,1,129.00,0,129.00
ORD-100227,2025-02-10,Vitality Fitness Band,Wearables,North America,Retail,Derek Holt,1,79.00,0,79.00
ORD-100228,2025-02-10,MagGrip Phone Stand,Accessories,Europe,Retail,Sofia Lindqvist,1,25.00,0,25.00
